,state,basin,start_date,end_date,YEAR,rain_fall,100%,91-99%,81-90%,71-80%,61-70%,51-60%,41-50%,40%-below,is_flood
2,Gujarat,WEST,2017.07.21,2017.08.02,2017,843.7,0,1,2,6,5,4,0,9,1
3,Karnataka,SOUTH,2019.08.01,2019.08.11,2019,969.4,0,2,1,0,1,6,4,17,1
4,Odisha,EAST,2020.08.27,2020.09.05,2020,1097.1,2,1,2,2,1,3,2,2,1
5,Rajasthan,NORTH,2017.07.21,2017.07.24,2017,843.7,1,1,1,1,1,1,1,1,1
6,Kerala,SOUTH,2018.08.08,2018.08.19,2018,802.4,1,1,1,1,1,1,1,1,1
7,Maharashtra,WEST,2019.07.22,2019.08.08,2019,969.4,0,1,2,6,5,4,0,9,1
8,Uttar Pradesh,CENTRAL,2017.08.11,2017.08.31,2017,843.7,0,0,0,0,2,3,1,6,1
9,Andhra Pradesh,SOUTH,2019.08.01,2019.08.19,2019,969.4,0,2,1,0,1,6,4,17,1
10,Bihar,EAST,2017.08.12,2017.08.31,2017,843.7,2,1,2,2,1,3,2,2,1
11,Tamil Nadu,SOUTH,2015.11.09,2015.12.01,2015,765.4,1,1,1,1,1,1,1,1,1
12,West Bengal,EAST,2017.08.11,2017.08.21,2017,843.7,2,1,2,2,1,3,2,2,1
13,Punjab,NORTH,2019.07.30,2019.08.22,2019,969.4,0,0,0,0,1,1,1,3,1
14,Madhya Pradesh,CENTRAL,2016.08.04,2016.08.26,2016,863.7,0,0,0,0,2,3,1,6,1
15,Telangana,SOUTH,2016.09.20,2016.09.30,2016,863.7,0,2,1,0,1,6,4,17,1
